deviceID,scanID,rawName,phaseFilePattern,positionLabel,centerX_um,centerY_um,notes
E7_R1C6,1,E7_R1C6_1,*.txt,NaN,NaN,NaN,NaN
E7_R1C6,2,E7_R1C6_2,*.txt,NaN,NaN,NaN,NaN
E7_R1C7,1,E7_R1C7_1,*.txt,NaN,NaN,NaN,NaN
E7_R1C7,2,E7_R1C7_2,*.txt,NaN,NaN,NaN,NaN
E8_R1C2,1,E8_R1C2_1,*.txt,NaN,NaN,NaN,NaN
E8_R1C2,2,E8_R1C2_2,*.txt,NaN,NaN,NaN,NaN
E8_R1C3,1,E8_R1C3_1,*.txt,NaN,NaN,NaN,NaN
E8_R1C3,2,E8_R1C3_2,*.txt,NaN,NaN,NaN,NaN
E8_R1C4,1,E8_R1C4_1,*.txt,NaN,NaN,NaN,NaN
E8_R1C4,2,E8_R1C4_2,*.txt,NaN,NaN,NaN,NaN
E8_R1C4,3,E8_R1C4_3,*.txt,NaN,NaN,NaN,NaN
